Name,HBName,Sum of PracticeListSize
Macduff Medical Practice,NHS Grampian,12342
Elmbank Group Practice,NHS Grampian,11883
Calsayseat Medical Group,NHS Grampian,11880
Albyn Medical Practice,NHS Grampian,10851
Whinhill Medical Practice,NHS Grampian,10525
Moray Coast Medical Practice,NHS Grampian,10227
Garthdee Medical Group,NHS Grampian,10032
Great Western Medical Practice,NHS Grampian,9999
New Dyce Medical Practice,NHS Grampian,9976
Gilbert Road Medical Group,NHS Grampian,9887
Finlayson Street Practice,NHS Grampian,9524
Holburn Medical Group,NHS Grampian,9081
Fyvie Oldmeldrum Medical Group,NHS Grampian,8999
Cults Medical Group,NHS Grampian,8801
Hamilton Medical Group,NHS Grampian,8791
